Aircraft,Traveller_type,Seat_type,Date_flown,Recommended
,Solo Leisure,Business Class,July 2023,yes
,Couple Leisure,Economy Class,July 2023,no
,Couple Leisure,Business Class,July 2023,yes
A320,Couple Leisure,Business Class,July 2023,yes
,Solo Leisure,Economy Class,May 2023,no
A321,Family Leisure,Business Class,July 2023,no
,Family Leisure,Economy Class,July 2023,no
,Family Leisure,Economy Class,July 2023,no
,Couple Leisure,,November 2022,no
,Couple Leisure,Economy Class,July 2023,no
,,Economy Class,July 2023,no
A320,Couple Leisure,Business Class,June 2023,no
,Solo Leisure,Economy Class,June 2023,no
A320,Couple Leisure,Economy Class,June 2023,no
,Family Leisure,Business Class,July 2023,no
A320 A350,Family Leisure,Business Class,June 2023,yes
A380,Solo Leisure,Business Class,June 2023,no
A320Neo,Solo Leisure,Economy Class,July 2023,no
,Couple Leisure,,July 2023,no
A321neo,Couple Leisure,Economy Class,July 2023,no
,Solo Leisure,Economy Class,November 2022,no
,Family Leisure,,June 2023,no
,Couple Leisure,Economy Class,June 2023,no
,Couple Leisure,Economy Class,July 2023,no
A380,,Business Class,June 2023,no
A321,Couple Leisure,Economy Class,June 2023,no
A320,Solo Leisure,Economy Class,July 2023,yes
,Family Leisure,Economy Class,June 2023,no
,Solo Leisure,Economy Class,May 2023,no
A321Neo,Couple Leisure,Economy Class,June 2023,no
,Solo Leisure,Economy Class,May 2023,no
,Family Leisure,Economy Class,June 2023,no
,Solo Leisure,Economy Class,June 2023,no
,Couple Leisure,Business Class,March 2023,no
A321 neo,Solo Leisure,Business Class,June 2023,no
,Solo Leisure,Economy Class,June 2023,no
,Family Leisure,Business Class,June 2023,yes
,Couple Leisure,Economy Class,June 2023,no
A350,,Business Class,June 2023,no
,Couple Leisure,Economy Class,June 2023,yes
,Couple Leisure,Economy Class,June 2023,no
,Family Leisure,Economy Class,June 2023,no
,Solo Leisure,Business Class,June 2023,no
,Solo Leisure,Economy Class,June 2023,no
,Family Leisure,Economy Class,June 2023,no
,Solo Leisure,Economy Class,June 2023,no
,,Business Class,June 2023,no
,Solo Leisure,Economy Class,June 2023,no
,Family Leisure,Economy Class,May 2023,no
,Couple Leisure,Economy Class,June 2023,no
,Couple Leisure,,March 2023,no
,,Economy Class,May 2023,no
,Solo Leisure,Economy Class,April 2023,no
A350,Solo Leisure,Business Class,May 2023,yes
,Family Leisure,Economy Class,May 2023,no
,Family Leisure,Economy Class,June 2023,no
,Couple Leisure,Economy Class,May 2023,no
,Family Leisure,Economy Class,February 2023,no
,Solo Leisure,Economy Class,March 2023,yes
,Family Leisure,Economy Class,May 2023,no
,Solo Leisure,Economy Class,May 2023,no
,Family Leisure,,May 2023,yes
A320,Couple Leisure,Economy Class,May 2023,no
,Couple Leisure,,May 2023,no
,Couple Leisure,Economy Class,March 2023,yes
A320,Solo Leisure,Economy Class,May 2023,yes
A320 Finnair,,Business Class,May 2023,no
A319,Couple Leisure,Business Class,May 2023,no
,Solo Leisure,Business Class,September 2022,no
,Solo Leisure,Economy Class,April 2023,no
,,Economy Class,May 2023,no
,Solo Leisure,Economy Class,May 2023,no
,Couple Leisure,Business Class,May 2023,no
,Couple Leisure,Business Class,April 2023,no
,Couple Leisure,Business Class,May 2023,no
,Solo Leisure,Business Class,May 2023,no
,Solo Leisure,Business Class,May 2023,no
,,Economy Class,May 2023,no
,,Economy Class,April 2023,no
,Couple Leisure,Business Class,April 2023,no
,Couple Leisure,Economy Class,January 2023,no
,Couple Leisure,,April 2023,no
,Family Leisure,,April 2023,no
,Family Leisure,Economy Class,February 2023,no
A350,Solo Leisure,,April 2023,yes
,Couple Leisure,Economy Class,April 2023,no
,Couple Leisure,Economy Class,April 2023,no
,Family Leisure,Economy Class,March 2023,no
,Solo Leisure,Economy Class,April 2023,no
A320,,Business Class,April 2023,no
,Family Leisure,Economy Class,March 2023,no
,Solo Leisure,Economy Class,January 2023,no
,,Economy Class,April 2023,no
,Couple Leisure,Business Class,March 2023,no
A350,Couple Leisure,Economy Class,April 2023,no
A320,Solo Leisure,Business Class,April 2023,yes
,Couple Leisure,Business Class,April 2023,no
,Couple Leisure,Economy Class,April 2023,no
